localId,localName,landmarkRank,lat,lng
921470,吉林炮台山滑雪场,1,43.829411,126.610683
921474,铭山绿洲滑雪场,1,43.897846,126.658362
922863,吉林省北大湖滑雪场,1,43.663831,126.499734
925983,西郊森林公园,1,36.663178,116.942317
926134,七星台植物园,1,36.701261,116.994319
930438,大佛寺造像,1,36.53587,117.125724
930475,卧虎山滑雪场,1,36.498002,117.016196
939020,龙泉动物园,1,31.025967,112.193725
949893,北方奔驰济宁润通4S店,1,35.350661,116.543956
952973,锦州市动物园,1,41.139866,121.131531
956176,火车站,1,41.124534,121.137756
961600,庐山会议旧址,1,29.559161,115.976583
964345,新世纪饭店,1,44.147072,125.823572
968026,百盛,1,45.296188,130.978264
970462,开封体育馆,1,34.811937,114.350414
973952,沈阳医科大学,1,42.499388,123.562586
975658,火车站,1,42.292363,123.838007
978216,大漠高尔夫球场,1,45.571647,84.88637
979437,昆明体育馆,1,25.046929,102.687825
979466,昆明阳光高尔夫俱乐部,1,25.111356,102.786297
979723,云南财经大学,1,25.079185,102.714484
986862,世界钱币馆,1,25.072578,102.757219
986887,蝴蝶园,1,25.077184,102.762347
986938,大德寺双塔,1,25.046123,102.712544
1002751,国际贸易中心,1,36.054425,103.834062
1005809,兰州理工大学,1,36.05851,103.730754
1015206,中国运河文化博物馆,1,36.456882,115.967148
1015505,火车站,1,36.456936,115.944445
1018541,中华广场,1,41.276979,123.176238
1023276,金龙奥迪红旗捷达,1,42.901292,125.134073
1041662,临沂火车站,1,35.037029,118.344058
1043418,绍兴饭店,1,35.068116,118.29944
1054071,奔驰展示厅,1,24.307752,109.365346
1067936,汉光武帝祠,1,34.841242,112.593981
1067967,洛阳中国牡丹博物馆,1,34.640525,112.477665
1068002,北魏水泉石窟,1,34.524045,112.658125
1070218,西山森林公园,1,37.890874,114.342519
1073578,泸州老窖制曲生态园,1,28.921246,105.478921
1073907,四川长江――雷波段珍稀鱼类自然保护区,1,28.89837,105.452474
1076118,林散之故居,1,31.857281,118.478587
1076507,南京铜井火车站,1,31.798757,118.5668
1083109,吉林省江城森林植物园,1,42.633359,125.575951
1084972,磐石火车站,1,42.945283,126.0904
1084979,吉林省磐石市火车站,1,42.947859,126.093029
1092470,保利国际高尔夫花园,1,28.717421,115.856148
1092855,象山森林公园,1,28.922165,116.007222
1097036,三国东吴墓,1,28.572811,115.917681
1097064,“南昌之星”摩天轮,1,28.658366,115.853029
1097078,八大山人故居,1,28.604567,115.916449
1097136,江西理工大学,1,28.742517,115.876783
1097280,江西财经大学,1,28.749027,115.853394
1108963,百盛,1,22.815379,108.322577
1109283,王府井购物中心,1,22.80634,108.328307
1111975,广西医科大学,1,22.797154,108.347556
1112042,广西壮族自治区图书馆,1,22.813518,108.338762
1123539,宝诚汽车宝马专卖,1,31.971263,120.889994
1127332,百盛,1,32.990461,112.527122
1131616,内江站,1,29.587966,105.037484
1132851,宁波大剧院,1,29.891592,121.547794
1143639,大商新玛特,1,41.132664,122.087231
1143688,新赛特购物广场,1,41.128932,122.069435
1148919,锦江饭店,1,26.765681,101.97808
1150262,渡口火车站,1,26.564604,101.699044
1157588,大黑山森林公园,1,39.102821,121.781138
1158990,西苑饭店,1,39.405204,121.954647
1180071,辽宁科技大学,1,41.1236,122.98999
1180139,兰州交通大学,1,36.10835,103.72286
1180144,广州图书馆,1,23.12195599,113.4104383
1180220,上海大学,1,31.1550647,121.2229568
1180265,天津城建大学,1,39.091345,117.082432
1180281,青海大学,1,36.653917,101.761433
1180289,石景山游乐园,1,40.04841149,116.2967098
1551424,上海体育馆,1,31.18192695,121.4361589
1552237,上邦高尔夫俱乐部,1,29.51794,106.313248
1553141,东北亚滑雪场,1,42.04545,123.729012
1556474,中国人民解放军海军博物馆,1,36.05464,120.330887
