id,localName,checkNum,lat,lng
3274441,桔梗(进贤路店),1,31.22149687,121.4599849
3280011,吸趣奶茶,1,39.96343401,116.367622
3280198,隆兴盛名优小吃,1,39.9398711,116.392875
3280203,舢板酒吧,1,39.93772305,116.3938249
3282253,古今内衣(大木桥路店),1,31.1953199,121.4627949
3282262,大桥土特产食品商店,1,31.19448188,121.4636901
3282281,大众面馆,1,31.25460413,121.5119641
3283181,来伊份(大连西路二店),1,31.27600487,121.4990868
3287232,冷饮小商品超市,1,39.82312396,116.507347
3294675,瑞华通手机通讯广场,1,39.80557693,116.416108
3296825,小陈日用百货经营部,1,31.27575901,121.4963309
3297696,大脚丫鞋类批发城,1,31.18920605,121.3772431
3300193,鸿运食品店,1,39.868882,116.4156339
3301608,奇凤日用百货,1,31.22162991,121.3675449
3301932,大中电器有限公司,1,39.90281709,116.2525019
3309216,日用百货,1,39.94350612,116.4393299
3309969,日用百货,1,31.25584002,121.5122971
3311038,日用百货,1,39.86993807,116.37538
3314557,瑞泰酒店宴会厅,1,31.22993489,121.4595491
3339570,琼御品咖啡坊,1,23.15026411,113.2653191
3339572,溢馨牛肉店,1,23.14995892,113.2655021
3350491,南锋汽车用品货仓商场,1,23.15412186,113.3028629
3374514,中新百货,1,22.76036412,113.7903859
3375369,珠江游售票处,1,23.11394304,113.2828949
3375523,美永城少年坊,1,23.11200189,113.254726
3390354,罗湖区桂园实业公司锦湖餐厅,1,22.54019698,114.1370859
3403764,永乐水果专卖店,1,22.52463607,114.025146
3468210,银泰百货,1,30.26800491,120.1637769
3469082,虹翔百货,1,30.27202493,120.1669359
3470794,星巴克(杭州石函店),1,30.26007499,120.157288
3516253,石油大学（北京）实验小楼,1,39.99808098,116.35796
3516265,华东师范大学艺术教育系教学基地,1,31.19736188,121.4872891
3516765,上海市公安局交通警察总队车辆管理所科目三考试点,1,31.15592898,121.4611289
3517801,上海师范大学初等教育学院培训部,1,31.20134389,121.4847649
3517803,二里庄邮电大学宿舍,1,39.997725,116.3672411
3747241,景仁馅饼,1,37.41949681,122.1521598
3747307,"恒xi


大姆指广场",1,36.8289444,121.703099
3750646,元和见过大酒店,1,39.94823103,116.4245559
5020500,中信银行ATM,1,30.30784488,120.084112
5024477,杭州奥地斯纺织制品有限公司,1,30.30726192,120.0970519
5024478,杭州升宇标识制作有限公司,1,30.30726192,120.0970519
5024486,杭州欧亚美玩具制造有限公司,1,30.30772997,120.0967361
5024791,杭州汇康医疗门诊部,1,30.29900604,120.0977081
5024853,余杭塘路口,1,30.29667311,120.0981309
5035129,沙县营养小吃,1,30.29449094,120.122136
5054968,杭州冠洋泳池工程有限公司,1,30.27159291,120.148609
5056255,杭州极速体育用品有限公司,1,30.27765697,120.150156
5067853,停车场,1,30.25897395,120.1605231
5071399,杭州五方羿尔家政,1,30.33086496,120.1633769
